Австрия;     Вена;             шопинг, экскурсии;        автобус;        отель 4;                 bed&breakfast;        3;     504;
Египет;      Шарм-Эль-Шейх;    пляжный отдых;            авиаперелет;    отель 3;                 all inclusive;        11;    2120;
Египет;      Шарм-Эль-Шейх;    пляжный отдых;            авиаперелет;    отель 4;                 all inclusive;        11;    2230;
Египет;      Шарм-Эль-Шейх;    пляжный отдых;            авиаперелет;    отель 4;                 all inclusive;        12;    2350;
Египет;      Хургада;          пляжный отдых;            авиаперелет;    отель 5;                 all inclusive;        11;    2176;
Египет;      Хургада;          пляжный отдых;            авиаперелет;    отель 5;                 ultra all inclusive;  14;    2611;
Египет;      Хургада;          пляжный отдых;            авиаперелет;    отель 5;                 ultra all inclusive;  12;    2401;
Египет;      Хургада;          пляжный отдых;            авиаперелет;    отель 4;                 all inclusive;        11;    2215;
Испания;     Барселона;        пляжный отдых;            авиаперелет;    отель 4;                 all inclusive;        11;    2345;
Испания;     Барселона;        пляжный отдых;            авиаперелет;    отель 5;                 ultra all inclusive;  13;    2560;
Испания;     Барселона;        пляжный отдых;            авиаперелет;    отель 3;                 full board+;          12;    2211;
Испания;     Майорка;          пляжный отдых;            авиаперелет;    отель 4;                 all inclusive;        11;    2111;
Испания;     Майорка;          пляжный отдых;            авиаперелет;    отель 5;                 ultra all inclusive;  10;    2241;
Испания;     Майорка;          пляжный отдых;            авиаперелет;    отель 4;                 full board+;          12;    2015;
Испания;     Тенерифе;         пляжный отдых;            авиаперелет;    отель 3;                 all inclusive;        11;    2310;
Испания;     Тенерифе;         пляжный отдых;            авиаперелет;    отель 5;                 all inclusive;        11;    2450;
Испания;     Тенерифе;         пляжный отдых;            авиаперелет;    отель 4;                 ultra all inclusive;  13;    2685;
Испания;     Барселона-Рим;    круиз;                    авиаперелет;    лайнер класса премиум;    all inclusive;        11;    2690;
Испания;     Барселона;        пляжный отдых;            авиаперелет;    отель 4;                 all inclusive;        11;    2351;
Италия;      Рим;              экскурсии;                авиаперелет;    отель 3;                 bed&breakfast;        4;     785;
Италия;      Милан;            экскурсии;                авиаперелет;    отель 3;                 bed&breakfast;        4;     764;
Кипр;        Никосия;          пляжный отдых;            авиаперелет;    отель 3;                 full board+;          12;    1813;
Кипр;        Никосия;          пляжный отдых;            авиаперелет;    отель 4;                 all inclusive;        11;    1916;
Кипр;        Никосия;          лечение;                  авиаперелет;    отель 5;                 ultra all inclusive;  13;    2056;
Кипр;        Ларнака;          пляжный отдых;            авиаперелет;    отель 3;                 full board+;          12;    1865;
Кипр;        Ларнака;          пляжный отдых;            авиаперелет;    отель 4;                 all inclusive;        11;    1942;
Кипр;        Ларнака;          пляжный отдых;            авиаперелет;    отель 5;                 ultra all inclusive;  13;    2109;
Куба;        Гавана-Сан-Паулу; круиз;                    авиаперелет;    лайнер класса премиум;    all inclusive;        11;    3418;
Литва;       Вильнюс;          шопинг, экскурсии;        автобус;        отель 4;                 bed&breakfast;        2;     235;
Литва;       Паланга;          пляжный отдых;            автобус;        отель 4;                 full board+;          12;    840;
Мальдивы;    Северный Мале;    пляжный отдых;            авиаперелет;    отель 4;                 all inclusive;        13;    3450;
Мальдивы;    Северный Мале;    пляжный отдых;            авиаперелет;    отель 5;                 all inclusive;        13;    3584;
Мальдивы;    Северный Мале;    пляжный отдых;            авиаперелет;    отель 5;                 all inclusive;        14;    3601;
Нидерланды;  Амстердам;        шопинг, экскурсии;        автобус;        отель 4;                 bed&breakfast;        5;     615;
Нидерланды;  Амстердам-Рим;    круиз;                    автобус;        лайнер класса люкс;       ultra all inclusive;  15;    3112;
Турция;      Анталья;          пляжный отдых;            авиаперелет;    отель 3;                 all inclusive;        10;    1611;
Турция;      Анталья;          пляжный отдых;            авиаперелет;    отель 4;                 all inclusive;        11;    1841;
Турция;      Анталья;          пляжный отдых;            авиаперелет;    отель 4;                 ultra all inclusive;  13;    2005;
Турция;      Анталья;          лечение;                  авиаперелет;    отель 5;                 ultra all inclusive;  15;    2440;
Турция;      Кемер;            пляжный отдых;            авиаперелет;    отель 3;                 all inclusive;        11;    1804;
Турция;      Кемер;            пляжный отдых;            авиаперелет;    отель 4;                 all inclusive;        10;    1873;
Турция;      Кемер;            пляжный отдых;            авиаперелет;    отель 5;                 all inclusive;        12;    2014;
Турция;      Кемер;            пляжный отдых;            авиаперелет;    отель 5;                 ultra all inclusive;  14;    2330;
Турция;      Мармарис;         пляжный отдых;            авиаперелет;    отель 3;                 all inclusive;        10;    1625;
Турция;      Мармарис;         пляжный отдых;            авиаперелет;    отель 4;                 all inclusive;        13;    1921;
Турция;      Мармарис;         пляжный отдых;            авиаперелет;    отель 4;                 all inclusive;        11;    1799;
Турция;      Мармарис;         пляжный отдых;            авиаперелет;    отель 4;                 ultra all inclusive;  13;    2215;
Турция;      Мармарис;         пляжный отдых;            авиаперелет;    отель 5;                 ultra all inclusive;  12;    3030;
Украина;     Киев;             шопинг, экскурсии;        автобус;        отель 3;                 bed&breakfast;        4;     395;
Украина;     Одесса;           пляжный отдых;            автобус;        отель 4;                 full board+;          12;    995;
Хорватия;    Сплит;            пляжный отдых;            авиаперелет;    отель 3;                 full board+;          9;     1413;
Хорватия;    Сплит;            пляжный отдых;            авиаперелет;    отель 4;                 all inclusive;        11;    1870;
Хорватия;    Сплит;            пляжный отдых;            авиаперелет;    отель 4;                 full board+;          12;    1580;
Хорватия;    Сплит;            лечение;                  авиаперелет;    отель 5;                 all inclusive;        13;    1980;
Швейцария;   Цюрих;            шопинг, экскурсии;        автобус;        отель 4;                 bed&breakfast;        5;     690;
Швеция;      Стокгольм;        шопинг, экскурсии;        автобус, паром; отель 4;                 bed&breakfast;        5;     695
